bias_brute;rmse;bias_rel;relative_rmse;bias_out_20percent;nb_out_20percent;n;R2;val;Combination
-0.1375581;3.175154681;0.280474259;0.664088219;0.457652753;1513;3306;0.843352627;CV10F;C0_C4svm
-0.003667381;2.811606103;0.284464911;0.658126999;0.472826087;522;1104;0.850587471;Test;C0_C4svm
0.96790097;4.716663973;0.468022337;1.016908631;0.545454545;12;22;0.207943705;Moreira et al. (2023);C0_C4svm
0.284738867;1.893185171;0.167069918;0.334543821;0.386394558;1704;4410;0.89858407;Arab-Alameddine et al. (2012);C0_C4svm
0.002661988;3.159406825;0.271545547;0.625553262;0.466727163;1543;3306;0.842745984;CV10F;C0_C4glmnet
0.1388727;2.813456675;0.276601514;0.619433409;0.483695652;534;1104;0.850469181;Test;C0_C4glmnet
1.041063869;4.699265393;0.468791419;1.00349494;0.545454545;12;22;0.21955281;Moreira et al. (2023);C0_C4glmnet
0.376811527;1.861298822;0.168050312;0.32131685;0.392970522;1733;4410;0.901146757;Arab-Alameddine et al. (2012);C0_C4glmnet
0.004859887;4.594801669;0.308176528;0.788377462;0.442528736;1463;3306;0.66751029;CV10F;C0_C6xgb
0.209174416;4.103048732;0.299213501;0.733955697;0.444746377;491;1104;0.685392837;Test;C0_C6xgb
1.915077107;5.732675384;0.672656812;1.25702263;0.545454545;12;22;0.149382788;Moreira et al. (2023);C0_C6xgb
3.621866358;4.816714599;0.807791981;1.049600389;0.811791383;3580;4410;0.708435511;Arab-Alameddine et al. (2012);C0_C6xgb
0.00483543;4.656413419;0.274691312;0.761131441;0.413490623;1367;3306;0.658632405;CV10F;C0_C6rf
0.212383495;4.12011267;0.265858692;0.708768138;0.420289855;464;1104;0.683326316;Test;C0_C6rf
1.301133684;6.377301848;0.515294634;1.028610239;0.636363636;14;22;0.072240931;Moreira et al. (2023);C0_C6rf
3.479070913;4.766396643;0.721507553;0.926410879;0.814739229;3593;4410;0.717706786;Arab-Alameddine et al. (2012);C0_C6rf
-0.754583607;4.947907036;0.363658048;0.984468182;0.454325469;1502;3306;0.623435419;CV10F;C0_C6svm
-0.559523712;4.4010787;0.362581315;0.96674495;0.454710145;502;1104;0.638369266;Test;C0_C6svm
-0.392094774;6.057783963;0.187043546;0.707073876;0.454545455;10;22;0.057945289;Moreira et al. (2023);C0_C6svm
1.007744539;2.72798759;0.330585553;0.547033301;0.601587302;2653;4410;0.806844775;Arab-Alameddine et al. (2012);C0_C6svm
