bias_brut;rmse;bias_rel;relative_rmse;biais_out_20percent;nb_out_20percent;n;R2;val;Combination
-0.137348616;1.224088764;-0.007263988;0.126409602;0.020634921;91;4410;0.955428888;Arab-Alameddine et al. (2012);C3_C8_C12rf
-0.166029497;1.981552448;0.06837607;0.257628792;0.264065336;873;3306;0.938874095;CV10F;C3_C8_C12svm
-0.029518146;1.836248127;0.078746662;0.256235865;0.269927536;298;1104;0.936412978;Test;C3_C8_C12svm
-0.760422629;3.411874856;0.043573799;0.457655813;0.318181818;7;22;0.504467447;Moreira et al. (2023);C3_C8_C12svm
0.017220516;1.468526516;0.042863098;0.169275463;0.142403628;628;4410;0.934971866;Arab-Alameddine et al. (2012);C3_C8_C12svm
-0.02550616;1.972390034;0.039541904;0.211268072;0.195402299;646;3306;0.938720341;CV10F;C3_C8_C12xgb
0.163355827;1.87347562;0.053464708;0.209850206;0.211050725;233;1104;0.937039734;Test;C3_C8_C12xgb
-0.202164996;3.010782719;0.081781802;0.4273224;0.409090909;9;22;0.607359011;Moreira et al. (2023);C3_C8_C12xgb
0.040042181;1.346764031;0.027953868;0.168574441;0.121995465;538;4410;0.946103462;Arab-Alameddine et al. (2012);C3_C8_C12xgb
0.002145591;2.864388794;0.225335219;0.536287284;0.439201452;1452;3306;0.870740413;CV10F;C4_C6_C12glmnet
0.075112697;2.458000221;0.229716675;0.532128654;0.435688406;481;1104;0.88545252;Test;C4_C6_C12glmnet
-0.948674424;4.707428543;0.210288392;0.847391801;0.454545455;10;22;0.112323316;Moreira et al. (2023);C4_C6_C12glmnet
0.56468815;2.345071229;0.175304642;0.342526138;0.433786848;1913;4410;0.849471481;Arab-Alameddine et al. (2012);C4_C6_C12glmnet
0.008066801;2.736987089;0.085831355;0.310436134;0.315789474;1044;3306;0.882008402;CV10F;C4_C6_C12rf
0.120739374;2.433498932;0.085243165;0.297818367;0.311594203;344;1104;0.890025494;Test;C4_C6_C12rf
-0.319902144;3.868977374;0.113009264;0.609393547;0.363636364;8;22;0.363406238;Moreira et al. (2023);C4_C6_C12rf
-0.254380996;1.632318056;-0.009141546;0.168853682;0.076190476;336;4410;0.922068682;Arab-Alameddine et al. (2012);C4_C6_C12rf
-0.104121023;2.862645265;0.222473611;0.547913952;0.425589837;1407;3306;0.871605584;CV10F;C4_C6_C12svm
-0.036250578;2.459939986;0.225732267;0.543596038;0.422101449;466;1104;0.885956302;Test;C4_C6_C12svm
-1.008874057;4.744615938;0.208447924;0.859508851;0.409090909;9;22;0.102315422;Moreira et al. (2023);C4_C6_C12svm
0.583637843;2.41108223;0.182631035;0.355511702;0.441950113;1949;4410;0.841301055;Arab-Alameddine et al. (2012);C4_C6_C12svm
-0.004968236;2.666682488;0.075299195;0.303503475;0.292498488;967;3306;0.88796762;CV10F;C4_C6_C12xgb
0.10468081;2.39341198;0.077364705;0.289798685;0.295289855;326;1104;0.893781567;Test;C4_C6_C12xgb
-0.351323501;3.985657853;0.172762813;0.674181403;0.409090909;9;22;0.317535845;Moreira et al. (2023);C4_C6_C12xgb
0.165489069;1.831085131;0.058738655;0.208304437;0.23106576;1019;4410;0.900264287;Arab-Alameddine et al. (2012);C4_C6_C12xgb
0.000904086;3.014092449;0.24789555;0.581229963;0.444041137;1468;3306;0.856874573;CV10F;C4_C6_C8glmnet
0.127591459;2.678854542;0.254680277;0.578889925;0.454710145;502;1104;0.864479166;Test;C4_C6_C8glmnet
-0.77623426;4.374653896;0.162322829;0.633474925;0.409090909;9;22;0.197384855;Moreira et al. (2023);C4_C6_C8glmnet
-0.258356701;2.179001416;0.073211133;0.282250985;0.283900227;1252;4410;0.864106303;Arab-Alameddine et al. (2012);C4_C6_C8glmnet
-0.006504167;2.955892983;0.100821874;0.354468944;0.34815487;1151;3306;0.862370103;CV10F;C4_C6_C8rf
0.168759522;2.709320654;0.110443978;0.351373067;0.355072464;392;1104;0.864643075;Test;C4_C6_C8rf
-0.309786946;3.974813046;0.085054948;0.58826666;0.409090909;9;22;0.350448637;Moreira et al. (2023);C4_C6_C8rf
-1.143989397;2.102305939;-0.134402509;0.209018219;0.034920635;154;4410;0.920216513;Arab-Alameddine et al. (2012);C4_C6_C8rf
-0.171470258;3.02073523;0.225321151;0.569360566;0.426194797;1409;3306;0.85738498;CV10F;C4_C6_C8svm
-0.050830824;2.674930965;0.230222297;0.565357363;0.425724638;470;1104;0.864332036;Test;C4_C6_C8svm
-0.923685096;4.433414603;0.14185968;0.630178301;0.363636364;8;22;0.185869841;Moreira et al. (2023);C4_C6_C8svm
-0.391249557;2.253930087;0.055432189;0.278375348;0.259863946;1146;4410;0.858839835;Arab-Alameddine et al. (2012);C4_C6_C8svm
-0.032443038;2.913612901;0.10737034;0.358972152;0.352692075;1166;3306;0.866284369;CV10F;C4_C6_C8xgb
0.13927991;2.707035381;0.117955947;0.355274251;0.367753623;406;1104;0.864734831;Test;C4_C6_C8xgb
-0.400515832;4.069209562;0.089636468;0.575291854;0.409090909;9;22;0.324659973;Moreira et al. (2023);C4_C6_C8xgb
-0.703734506;1.899744183;-0.067918316;0.182600383;0.050566893;223;4410;0.910445847;Arab-Alameddine et al. (2012);C4_C6_C8xgb
0.003444052;2.941619269;0.233488366;0.552487186;0.438898972;1451;3306;0.863679896;CV10F;C4_C8_C12glmnet
0.086921472;2.499722186;0.238285385;0.546359789;0.4375;483;1104;0.881563856;Test;C4_C8_C12glmnet
-0.935217534;4.785547046;0.207702774;0.881599604;0.318181818;7;22;0.105498988;Moreira et al. (2023);C4_C8_C12glmnet
0.732283888;2.5960298;0.200400247;0.374669281;0.458276644;2021;4410;0.827786989;Arab-Alameddine et al. (2012);C4_C8_C12glmnet
0.001338762;2.813779749;0.092109576;0.322226269;0.334845735;1107;3306;0.875320364;CV10F;C4_C8_C12rf
0.150200598;2.478444255;0.097330633;0.309894501;0.344202899;380;1104;0.885900105;Test;C4_C8_C12rf
-0.437170954;3.593787197;0.083370097;0.5302305;0.318181818;7;22;0.439086014;Moreira et al. (2023);C4_C8_C12rf
